Window 19 Bounty Owners - Recipients List
==========================================

1. 0xf21c5a4912777c03086397a95457748aafd63267
   ENS: 1505.eth
   Bounty: 0x9075de9e1Cc4E65d2419076D1b43058B910dC6CA

2. 0x5c70af3ddc7e815a40f2a09d22483e6e24eddf8e
   ENS: batz.eth
   Bounty: 0xD4F3937fEE1E9F41B005e5165ABA059E9a118B61

3. 0xb630abd9a5367763b7cba316e870c4a54064cc9f
   ENS: mikegee.eth
   Bounty: 0x59627a776F00D35f16Fe15A9A75FF79e07760CdD

4. 0x5a084aaef5eddd9195f28f6fe056785e01f210eb
   ENS: incarterseyes.eth
   Bounty: 0x843238a40B323F9fDaDe043F9957a5a864234722

5. 0xcf6f5a68d94165081a634ada997be3a93426c467
   ENS: cypherdao.eth
   Bounty: 0xFE6C0717788903e9E8BD82908efc60f311814405

6. 0x577c58ebed517748b752252de2a7cbdb92c3a739
   ENS: dtodd.eth
   Bounty: 0x8F286A894911cE7b49136cBde0FF3599764031d1

7. 0xea310c966d3ff5e09c65487f1763b21361eb71ef
   ENS: grunt.eth
   Bounty: 0x613cca428DF6A987a99da8900f3ba47bBC191D58

8. 0xd7fe95c58f8fcc7a762c7713653630e601f3b44f
   ENS: joafen82.eth
   Bounty: 0x6d6D49F4Ef817ff49Bb5Cb7398785FB4f3319b3f

9. 0x50bd57e824238d7b30db37284d2f0303a942ab66
   ENS: 0.kvlt.eth
   Bounty: 0x931F123e299bD10C2B5837b6bF68518C79A6b6F4
